County,AddressLine,Q1Response,Overall_Experience,Convenience,Timely_Ballot,Online_Voting,Timeframe,Resources,Comments
Adams,"2008 Forest Ave, Des Moines, WA 98105",General,4,4,5,3,4,4,The process was easy!
Clark,"699 N US HWY 19E 
Newland, NC 28657",General,4,3,5,2,4,3,Overall decent.
Pierce,"2008 Forest Ave, Des Moines, WA 98105",General,5,4,2,3,1,1,Please bring online voting!
Pierce,"114 E College Ave 
Shelby, NC 28152",General,2,4,5,2,4,3,Overall decent.
Pierce,"2008 Forest Ave, Des Moines, WA 98105",General,3,4,2,2,2,2,The process was easy!
King,"208 E 1ST Ave 
Chadbourn, NC 28431",General,3,3,5,2,4,3,It wasn’t very convenient
Pierce,"2008 Forest Ave, Des Moines, WA 98072",General,1,2,2,2,4,3,Experience could've been better.
King,"4201 Caney Fork RD 
Cullowhee, WA 28723",General,5,4,5,3,4,4,Overall decent.
Pierce,"2008 Forest Ave, Des Moines, WA 98072",General,4,2,3,2,4,4,The process was easy!
King,"6116 Efland-Ceder Grove RD 
Cedar Grove, NC 27231",General,4,3,4,3,4,4,It wasn’t very convenient
King,"2008 Forest Ave, Des Moines, WA 50311",General,2,3,2,2,2,2,The process was easy!
Pierce,"2008 Forest Ave, Des Moines, WA 98072",General,1,2,2,2,4,3,The process was easy!
Mason,"3402 Maxwell RD  Autryville, WA 28318",General,4,4,4,3,4,4,Overall decent.
Pierce,"255 Settawig RD  Brasstown, WA 28902",General,4,4,4,3,4,4,Very rude representatives.
Ferry,"19170 US Hwy 421 
Willard, WA 28478",General,3,4,4,3,4,4,It wasn’t very convenient
Mason,"185 Bonlee Bennett RD  Bonlee, WA 98072",General,5,4,4,3,4,3,The process was easy!
Mason,"1015 Gantt St  Faith, NC 28041",General,4,3,4,3,3,3,It wasn’t very convenient
King,"10635 Greenville Hwy Cedar Mountain, WA 98072",General,4,3,4,2,3,3,Overall decent.
Pierce,"130 E Mciver St  Angier, WA 27501",General,4,3,4,2,3,4,It wasn’t very convenient
King,"707 Pinehurst Ave Carthage, WA 28327",General,5,4,4,2,3,4,The process was easy!
Pierce,"4113 N C Hwy 581 Spring Hope, WA 27882",General,4,4,3,2,3,4,It wasn’t very convenient
King,"1414 Rocky Hock Landing Rd  Edenton, WA 27932",General,3,4,3,2,4,3,The process was easy!
Pierce,"3856 Semora Rd Roxboro, WA 27574",General,4,5,3,3,4,3,The process was easy!
King,"2008 Forest Ave, Des Moines, WA 50311",General,4,2,3,2,4,4,The process was easy!
Pierce,"2008 Forest Ave, Des Moines, WA 50311",General,4,2,3,2,3,5,Wish the line wasn't so long!
